Cliente,Producto,Product_Type,pred_ventas,Channel_Inv,Sell_in,periodo_predicho,inventario_negativo_flag,inventario_disponible,gap_demanda,gap_abs,cobertura_semanas,prioridad_despacho,recomendacion
CUSTOMER56,"MOBILE,SM-A055M/DS,SILVER,LTC",MOBILE,423.63397,2625.0,0.0,2025-09-01,0,2625.0,-2201.366,2201.366,26.64176,2201.366,Monitorear
CUSTOMER20,"MOBILE,SM-S721B,BLACK,COM",MOBILE,1079.7997,3258.0,1500.0,2025-09-01,0,3258.0,-2178.2002,2178.2002,12.973557,2178.2002,Monitorear
CUSTOMER7,"QLED TV,QN55Q7FAAK,55,COLOMBIA,QWD51/Q55",QLED TV,873.0737,2992.0,1200.0,2025-09-01,0,2992.0,-2118.9263,2118.9263,14.735259,2118.9263,Monitorear
CUSTOMER42,"LED TV,UN65U8000FK,65,COLOMBIA,UWS51/U65",LED TV,228.07689,2346.0,0.0,2025-09-01,0,2346.0,-2117.923,2117.923,44.22149,2117.923,Monitorear
CUSTOMER42,"MOBILE,SM-A266M/DS,BLACK,LTC",MOBILE,482.01743,2536.0,0.0,2025-09-01,0,2536.0,-2053.9827,2053.9827,22.621231,2053.9827,Monitorear
CUSTOMER56,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,518.8424,2554.0,0.0,2025-09-01,0,2554.0,-2035.1576,2035.1576,21.164982,2035.1576,Monitorear
CUSTOMER42,"MOBILE,SM-A266M/DS,LIGHT GREEN,LTC",MOBILE,430.1505,2449.0,0.0,2025-09-01,0,2449.0,-2018.8495,2018.8495,24.478985,2018.8495,Monitorear
CUSTOMER42,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,552.73865,2563.0,0.0,2025-09-01,0,2563.0,-2010.2614,2010.2614,19.937168,2010.2614,Monitorear
CUSTOMER56,"MOBILE,SM-A266M/DS,BLACK,LTC",MOBILE,348.9786,2316.0,0.0,2025-09-01,0,2316.0,-1967.0214,1967.0214,28.533476,1967.0214,Monitorear
CUSTOMER42,"QLED TV,QN55Q7FAAK,55,COLOMBIA,QWD51/Q55",QLED TV,350.98608,2241.0,0.0,2025-09-01,0,2241.0,-1890.0139,1890.0139,27.451572,1890.0139,Monitorear
CUSTOMER57,"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,157.72324,2026.0,0.0,2025-09-01,0,2026.0,-1868.2767,1868.2767,55.219677,1868.2767,Monitorear
CUSTOMER24,"MOBILE,SM-A065M/DS,BLACK,LTC",MOBILE,1022.8867,2884.0,0.0,2025-09-01,0,2884.0,-1861.1133,1861.1133,12.1232195,1861.1133,Monitorear
CUSTOMER20,"MOBILE,SM-A566E,GRAY,COM",MOBILE,1436.263,3272.0,0.0,2025-09-01,0,3272.0,-1835.737,1835.737,9.795685,1835.737,Monitorear
CUSTOMER24,"MOBILE,SM-M556B/DS,LIGHT GREEN,COO",MOBILE,528.10065,2320.0,0.0,2025-09-01,0,2320.0,-1791.8994,1791.8994,18.8888,1791.8994,Monitorear
CUSTOMER7,"AV RECEIVER,HW-C400,COLOMBIA",AV RECEIVER,1181.9736,2969.0,1200.0,2025-09-01,0,2969.0,-1787.0264,1787.0264,10.800779,1787.0264,Monitorear
CUSTOMER56,"TABLET,SM-X110,GRAY,L13",TABLET,315.64523,2072.0,0.0,2025-09-01,0,2072.0,-1756.3547,1756.3547,28.22278,1756.3547,Monitorear
CUSTOMER20,"MOBILE,SM-A266M,LIGHT GREEN,COM",MOBILE,1980.6088,3716.0,1050.0,2025-09-01,0,3716.0,-1735.3912,1735.3912,8.067446,1735.3912,Monitorear
CUSTOMER8,"MOBILE,SM-A055M/DS,SILVER,LTC",MOBILE,382.81128,2098.0,0.0,2025-09-01,0,2098.0,-1715.1887,1715.1887,23.563536,1715.1887,Monitorear
CUSTOMER24,"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,1399.6863,3049.0,0.0,2025-09-01,0,3049.0,-1649.3137,1649.3137,9.366597,1649.3137,Monitorear
CUSTOMER73,"MOBILE,SM-A065M/DS,BLACK,LTC",MOBILE,382.43243,2020.0,1020.0,2025-09-01,0,2020.0,-1637.5676,1637.5676,22.709955,1637.5676,Monitorear
CUSTOMER56,"MOBILE,SM-A065M/DS,BLACK,LTC",MOBILE,570.07104,2178.0,0.0,2025-09-01,0,2178.0,-1607.929,1607.929,16.42724,1607.929,Monitorear
CUSTOMER24,"MOBILE,SM-A055M,LIGHT GREEN,COM",MOBILE,704.1023,2291.0,0.0,2025-09-01,0,2291.0,-1586.8977,1586.8977,13.990438,1586.8977,Monitorear
CUSTOMER20,"MOBILE,SM-S721B,LIGHT BLUE,COM",MOBILE,905.48596,2473.0,1150.0,2025-09-01,0,2473.0,-1567.514,1567.514,11.743302,1567.514,Monitorear
CUSTOMER57,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,351.81854,1887.0,0.0,2025-09-01,0,1887.0,-1535.1814,1535.1814,23.060492,1535.1814,Monitorear
CUSTOMER69,"MOBILE,SM-A566E/DS,BLACK,LTC",MOBILE,156.28534,1628.0,0.0,2025-09-01,0,1628.0,-1471.7146,1471.7146,44.780113,1471.7146,Monitorear
CUSTOMER42,"MOBILE,SM-A366E/DS,BLACK,LTC",MOBILE,326.2534,1749.0,0.0,2025-09-01,0,1749.0,-1422.7466,1422.7466,23.048677,1422.7466,Monitorear
CUSTOMER42,"TABLET,SM-X210,GRAY,COO",TABLET,365.91998,1741.0,0.0,2025-09-01,0,1741.0,-1375.0801,1375.0801,20.456442,1375.0801,Monitorear
CUSTOMER7,"MOBILE,SM-A266M/DS,WHITE,LTC",MOBILE,595.75134,1947.0,800.0,2025-09-01,0,1947.0,-1351.2487,1351.2487,14.051998,1351.2487,Monitorear
CUSTOMER42,"MOBILE,SM-A065M/DS,BLACK,LTC",MOBILE,464.00952,1805.0,0.0,2025-09-01,0,1805.0,-1340.9905,1340.9905,16.725477,1340.9905,Monitorear
CUSTOMER73,"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,454.69287,1774.0,1530.0,2025-09-01,0,1774.0,-1319.3071,1319.3071,16.775013,1319.3071,Monitorear
CUSTOMER7,"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,460.24188,1735.0,0.0,2025-09-01,0,1735.0,-1274.758,1274.758,16.20844,1274.758,Monitorear
CUSTOMER69,"MOBILE,SM-A065M/DS,BLACK,LTC",MOBILE,472.69446,1746.0,0.0,2025-09-01,0,1746.0,-1273.3055,1273.3055,15.881543,1273.3055,Monitorear
CUSTOMER69,"MOBILE,SM-A055M/DS,BLACK,LTC",MOBILE,90.25737,1363.0,0.0,2025-09-01,0,1363.0,-1272.7427,1272.7427,64.904495,1272.7427,Monitorear
CUSTOMER42,"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,322.1534,1574.0,0.0,2025-09-01,0,1574.0,-1251.8466,1251.8466,21.006441,1251.8466,Monitorear
CUSTOMER7,"AV RECEIVER,HW-B650F,COLOMBIA",AV RECEIVER,299.1948,1538.0,0.0,2025-09-01,0,1538.0,-1238.8052,1238.8052,22.100817,1238.8052,Monitorear
CUSTOMER70,"MOBILE,SM-A055M/DS,BLACK,LTC",MOBILE,84.87746,1322.0,0.0,2025-09-01,0,1322.0,-1237.1226,1237.1226,66.94029,1237.1226,Monitorear
CUSTOMER56,"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,350.26562,1529.0,0.0,2025-09-01,0,1529.0,-1178.7344,1178.7344,18.768309,1178.7344,Monitorear
CUSTOMER73,"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,304.62802,1479.0,0.0,2025-09-01,0,1479.0,-1174.372,1174.372,20.873991,1174.372,Monitorear
CUSTOMER69,"MOBILE,SM-A166M/DS,GRAY,LTC",MOBILE,459.88507,1633.0,0.0,2025-09-01,0,1633.0,-1173.115,1173.115,15.267387,1173.115,Monitorear
CUSTOMER20,"MOBILE,SM-A057M,BLACK,COM",MOBILE,557.198,1725.0,0.0,2025-09-01,0,1725.0,-1167.802,1167.802,13.311119,1167.802,Monitorear
CUSTOMER42,"MINI COMPONENT,MX-T50,COLOMBIA",MINI COMPONENT,264.0516,1420.0,0.0,2025-09-01,0,1420.0,-1155.9484,1155.9484,23.120504,1155.9484,Monitorear
CUSTOMER56,"MOBILE,SM-A266M/DS,LIGHT GREEN,LTC",MOBILE,438.61792,1590.0,0.0,2025-09-01,0,1590.0,-1151.3821,1151.3821,15.58607,1151.3821,Monitorear
CUSTOMER7,"LED TV,UN65U8000FK,65,COLOMBIA,UWS51/U65",LED TV,493.75418,1643.0,600.0,2025-09-01,0,1643.0,-1149.2458,1149.2458,14.307292,1149.2458,Monitorear
CUSTOMER7,"MOBILE,SM-A566E/DS,BLACK,LTC",MOBILE,352.50208,1478.0,250.0,2025-09-01,0,1478.0,-1125.4979,1125.4979,18.027199,1125.4979,Monitorear
CUSTOMER6,"MOBILE,SM-A165M/DS,BLACK,LTC",MOBILE,366.88177,1467.0,0.0,2025-09-01,0,1467.0,-1100.1182,1100.1182,17.191807,1100.1182,Monitorear
CUSTOMER20,"MOBILE,SM-A556E,LIGHT BLUE,COM",MOBILE,142.22359,1230.0,0.0,2025-09-01,0,1230.0,-1087.7764,1087.7764,37.176685,1087.7764,Monitorear
CUSTOMER42,"AV RECEIVER,HW-C400,COLOMBIA",AV RECEIVER,254.02542,1321.0,0.0,2025-09-01,0,1321.0,-1066.9746,1066.9746,22.357365,1066.9746,Monitorear
CUSTOMER73,"MON,S22D310EAN,22,UNITED STATES,LV40/S22",MON,315.62393,1382.0,0.0,2025-09-01,0,1382.0,-1066.3761,1066.3761,18.825539,1066.3761,Monitorear
CUSTOMER42,"LED TV,UN50U8000FK,50,COLOMBIA,UWS51/U50",LED TV,231.72183,1262.0,95.0,2025-09-01,0,1262.0,-1030.2782,1030.2782,23.414253,1030.2782,Monitorear
CUSTOMER24,"MOBILE,SM-A065M/DS,LIGHT GREEN,LTC",MOBILE,1447.392,2457.0,0.0,2025-09-01,0,2457.0,-1009.60803,1009.60803,7.2991877,1009.60803,Monitorear
CUSTOMER7,"LED TV,UN43U8000FK,43,COLOMBIA,UWS51/U43",LED TV,485.36517,1478.0,800.0,2025-09-01,0,1478.0,-992.6348,992.6348,13.092898,992.6348,Monitorear
CUSTOMER7,"MOBILE,SM-A566E/DS,LIGHT PINK,LTC",MOBILE,376.7288,1348.0,350.0,2025-09-01,0,1348.0,-971.27124,971.27124,15.384379,971.27124,Monitorear
CUSTOMER7,"MOBILE,SM-A065M/DS,LIGHT GREEN,LTC",MOBILE,464.70963,1399.0,570.0,2025-09-01,0,1399.0,-934.2904,934.2904,12.943876,934.2904,Monitorear
CUSTOMER7,"LED TV,UN50U8000FK,50,COLOMBIA,UWS51/U50",LED TV,163.34915,1088.0,0.0,2025-09-01,0,1088.0,-924.6509,924.6509,28.632956,924.6509,Monitorear
CUSTOMER7,"MOBILE,SM-A165M/DS,LIGHT GREEN,LTC",MOBILE,438.34424,1361.0,0.0,2025-09-01,0,1361.0,-922.65576,922.65576,13.349614,922.65576,Monitorear
CUSTOMER7,"TABLET,SM-X210,GRAY,COO",TABLET,1096.9915,2013.0,1000.0,2025-09-01,0,2013.0,-916.00854,916.00854,7.8902726,916.00854,Monitorear
CUSTOMER42,"QLED TV,QN75Q6FAAK,75,COLOMBIA,QWS51/Q75",QLED TV,126.342514,1030.0,-6.0,2025-09-01,0,1030.0,-903.6575,903.6575,35.043575,903.6575,Monitorear
CUSTOMER42,"OWM,SAMCOL,CO,19",OWM,570.2721,1473.0,128.0,2025-09-01,0,1473.0,-902.7279,902.7279,11.105967,902.7279,Monitorear
CUSTOMER42,"MOBILE,SM-A266M/DS,WHITE,LTC",MOBILE,139.5122,1020.0,0.0,2025-09-01,0,1020.0,-880.4878,880.4878,31.428425,880.4878,Monitorear
CUSTOMER42,"LED TV,UN75DU7000K,75,COLOMBIA,UWS41/U75",LED TV,132.75362,1006.0,0.0,2025-09-01,0,1006.0,-873.2464,873.2464,32.574627,873.2464,Monitorear
CUSTOMER82,"LED TV,UN55U8200FK,55,COLOMBIA,UWS51/U55",LED TV,111.31568,971.0,0.0,2025-09-01,0,971.0,-859.6843,859.6843,37.49416,859.6843,Monitorear
CUSTOMER42,"LED TV,UN43U8000FK,43,COLOMBIA,UWS51/U43",LED TV,91.43326,946.0,0.0,2025-09-01,0,946.0,-854.5668,854.5668,44.46837,854.5668,Monitorear
CUSTOMER42,"MINI COMPONENT,MX-T40,COLOMBIA",MINI COMPONENT,500.16202,1345.0,300.0,2025-09-01,0,1345.0,-844.838,844.838,11.56226,844.838,Monitorear
CUSTOMER7,"LED TV,UN75U8000FK,75,COLOMBIA,UWS51/U75",LED TV,130.57281,967.0,0.0,2025-09-01,0,967.0,-836.4272,836.4272,31.834583,836.4272,Monitorear
CUSTOMER56,"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,500.8766,1336.0,420.0,2025-09-01,0,1336.0,-835.1234,835.1234,11.468508,835.1234,Monitorear
CUSTOMER24,"MOBILE,SM-A055M/DS,SILVER,LTC",MOBILE,558.03436,1390.0,0.0,2025-09-01,0,1390.0,-831.96564,831.96564,10.709986,831.96564,Monitorear
CUSTOMER7,"LED TV,UN55U8000FK,55,COLOMBIA,UWS51/U55",LED TV,590.3337,1415.0,85.0,2025-09-01,0,1415.0,-824.6663,824.6663,10.306133,824.6663,Monitorear
CUSTOMER7,"OWM,SELACOL,CO,17",OWM,386.1059,1207.0,408.0,2025-09-01,0,1207.0,-820.8941,820.8941,13.44067,820.8941,Monitorear
CUSTOMER56,"MOBILE,SM-A165M/DS,GRAY,LTC",MOBILE,330.03992,1130.0,0.0,2025-09-01,0,1130.0,-799.9601,799.9601,14.720544,799.9601,Monitorear
CUSTOMER42,"TABLET,SM-P620,GRAY,COO",TABLET,151.5629,917.0,0.0,2025-09-01,0,917.0,-765.43713,765.43713,26.008884,765.43713,Monitorear
CUSTOMER16,"QLED TV,QN50Q7FAAK,50,COLOMBIA,QWD51/Q50",QLED TV,136.94843,894.0,-6.0,2025-09-01,0,894.0,-757.0516,757.0516,28.061611,757.0516,Monitorear
CUSTOMER70,"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,463.5355,1200.0,0.0,2025-09-01,0,1200.0,-736.4645,736.4645,11.130801,736.4645,Monitorear
CUSTOMER57,"MOBILE,SM-A055M/DS,BLACK,LTC",MOBILE,143.35503,871.0,0.0,2025-09-01,0,871.0,-727.64496,727.64496,26.118216,727.64496,Monitorear
CUSTOMER7,"QLED TV,QN75Q7FAAK,75,COLOMBIA,QWD51/Q75",QLED TV,91.34366,813.0,0.0,2025-09-01,0,813.0,-721.6564,721.6564,38.253944,721.6564,Monitorear
CUSTOMER57,"MOBILE,SM-A055M/DS,SILVER,LTC",MOBILE,84.67716,806.0,0.0,2025-09-01,0,806.0,-721.3228,721.3228,40.908802,721.3228,Monitorear
CUSTOMER7,"MOBILE,SM-A566E/DS,GRAY,LTC",MOBILE,264.29147,983.0,90.0,2025-09-01,0,983.0,-718.7085,718.7085,15.990726,718.7085,Monitorear
CUSTOMER7,"MON,S27DG300EN,27,UNITED STATES,LL30/S27",MON,312.42407,1030.0,474.0,2025-09-01,0,1030.0,-717.5759,717.5759,14.1742935,717.5759,Monitorear
CUSTOMER7,"MON,S22D300GAN,22,UNITED STATES,LL40/S22",MON,757.7569,1473.0,0.0,2025-09-01,0,1473.0,-715.2431,715.2431,8.358276,715.2431,Monitorear
CUSTOMER7,"TABLET,SM-P620,LIGHT GREEN,COO",TABLET,423.00937,1126.0,0.0,2025-09-01,0,1126.0,-702.9906,702.9906,11.444919,702.9906,Monitorear
CUSTOMER70,"MOBILE,SM-M556B/DS,LIGHT GREEN,COO",MOBILE,107.24185,803.0,0.0,2025-09-01,0,803.0,-695.7582,695.7582,32.184414,695.7582,Monitorear
CUSTOMER6,"MOBILE,SM-A266M/DS,BLACK,LTC",MOBILE,386.68094,1077.0,0.0,2025-09-01,0,1077.0,-690.3191,690.3191,11.975209,690.3191,Monitorear
CUSTOMER70,"MOBILE,SM-M556B/DS,BLACK,COO",MOBILE,93.933075,751.0,0.0,2025-09-01,0,751.0,-657.0669,657.0669,34.363003,657.0669,Monitorear
CUSTOMER69,"MOBILE,SM-A065M/DS,LIGHT BLUE,LTC",MOBILE,208.26387,857.0,0.0,2025-09-01,0,857.0,-648.73615,648.73615,17.69073,648.73615,Monitorear
CUSTOMER7,"MON,S27D300GAN,27,UNITED STATES,LL40/S27",MON,211.00752,857.0,0.0,2025-09-01,0,857.0,-645.9925,645.9925,17.460749,645.9925,Monitorear
CUSTOMER7,"MON,S24DG300EN,24,UNITED STATES,LL30/S24",MON,166.16788,811.0,0.0,2025-09-01,0,811.0,-644.83215,644.83215,20.981178,644.83215,Monitorear
CUSTOMER16,"MOBILE,SM-A057M,BLACK,LTC",MOBILE,75.21891,719.0,0.0,2025-09-01,0,719.0,-643.78107,643.78107,41.079212,643.78107,Monitorear
CUSTOMER43,"MOBILE,SM-S931B/DS,DARK BLUE,LTC",MOBILE,118.32255,761.0,0.0,2025-09-01,0,761.0,-642.6774,642.6774,27.645714,642.6774,Monitorear
CUSTOMER16,"LED TV,UN55U8000FK,55,COLOMBIA,UWS51/U55",LED TV,99.827385,737.0,-2.0,2025-09-01,0,737.0,-637.1726,637.1726,31.732132,637.1726,Monitorear
CUSTOMER73,"MON,S24D300GAN,24,UNITED STATES,LL40/S24",MON,221.97937,859.0,0.0,2025-09-01,0,859.0,-637.0206,637.0206,16.636612,637.0206,Monitorear
CUSTOMER7,"MOBILE,SM-A566E/DS,GREEN,LTC",MOBILE,191.28229,817.0,200.0,2025-09-01,0,817.0,-625.7177,625.7177,18.361925,625.7177,Monitorear
CUSTOMER42,"MOBILE,SM-A366E/DS,WHITE,LTC",MOBILE,272.24225,876.0,0.0,2025-09-01,0,876.0,-603.75775,603.75775,13.8340225,603.75775,Monitorear
CUSTOMER42,"LED TV,UN50DU7000K,50,COLOMBIA,UWS41/U50",LED TV,157.26442,760.0,0.0,2025-09-01,0,760.0,-602.7356,602.7356,20.774609,602.7356,Monitorear
CUSTOMER8,"MOBILE,SM-A065M/DS,LIGHT GREEN,LTC",MOBILE,154.42726,757.0,0.0,2025-09-01,0,757.0,-602.57275,602.57275,21.072666,602.57275,Monitorear
CUSTOMER42,"LED TV,UN43DU7000K,43,COLOMBIA,UWS41/U43",LED TV,92.68253,688.0,0.0,2025-09-01,0,688.0,-595.31744,595.31744,31.904913,595.31744,Monitorear
CUSTOMER42,"LED TV,UN75U8000FK,75,COLOMBIA,UWS51/U75",LED TV,40.839203,631.0,0.0,2025-09-01,0,631.0,-590.16077,590.16077,66.36873,590.16077,Monitorear
CUSTOMER70,"MON,S24D300GAN,24,UNITED STATES,LL40/S24",MON,267.81317,856.0,0.0,2025-09-01,0,856.0,-588.1868,588.1868,13.741704,588.1868,Monitorear
CUSTOMER42,"FWM,SELACOL,CO,22",FWM,335.78046,909.0,212.0,2025-09-01,0,909.0,-573.21954,573.21954,11.639151,573.21954,Monitorear
CUSTOMER73,"TABLET,SM-X115,GRAY,L13",TABLET,154.97972,724.0,0.0,2025-09-01,0,724.0,-569.02026,569.02026,20.08222,569.02026,Monitorear
CUSTOMER7,"TABLET,SM-P620,GRAY,COO",TABLET,583.6309,1147.0,0.0,2025-09-01,0,1147.0,-563.3691,563.3691,8.450095,563.3691,Monitorear
CUSTOMER56,"MON,S22D310EAN,22,UNITED STATES,LV40/S22",MON,130.75696,687.0,0.0,2025-09-01,0,687.0,-556.24304,556.24304,22.58487,556.24304,Monitorear
CUSTOMER82,"LED TV,UN43U8000FK,43,COLOMBIA,UWS51/U43",LED TV,20.860352,576.0,0.0,2025-09-01,0,576.0,-555.13965,555.13965,118.488174,555.13965,Monitorear
